# Merged ESP32 offline IMU GPS sync chunks
t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,mx_raw,my_raw,mz_raw,gps_updated,gps_valid,gps_usable,fix_quality,satellites,hdop,gps_lat,gps_lon,gps_alt_m,gps_speed_mps,gps_course_deg,gps_utc,gps_date,nmea_count,fix_count,checksum_fail_count
13,0.051758,0.001221,1.025879,40.174,0.2366,1.0305,0.0229,274,-384,223,0,,,,,,,,,,,,,0,0,0
159,0.053223,0.000488,1.020752,40.156,0.1832,0.9542,-0.0916,274,-384,221,0,,,,,,,,,,,,,0,0,0
259,0.054688,-0.003906,1.028320,40.209,0.2672,1.0458,0.0687,273,-383,221,0,,,,,,,,,,,,,0,0,0
365,0.050781,-0.000732,1.026611,40.145,0.1527,1.0000,-0.1450,273,-384,221,0,,,,,,,,,,,,,0,0,0
464,0.049805,-0.000488,1.027100,40.162,0.1527,0.9695,-0.0992,274,-382,221,0,,,,,,,,,,,,,0,0,0
566,0.051758,-0.000244,1.024414,40.145,0.2137,0.9389,-0.0611,274,-383,221,0,,,,,,,,,,,,,2,0,0
673,0.050537,-0.000488,1.018799,40.186,0.0840,1.0000,0.0076,274,-383,221,0,,,,,,,,,,,,,4,0,0
780,0.050537,0.003418,1.024902,40.168,0.1603,0.9847,-0.0534,273,-383,222,0,,,,,,,,,,,,,6,0,0
884,0.054443,-0.002197,1.022949,40.177,0.1756,1.0000,-0.0687,273,-384,220,0,,,,,,,,,,,,,6,0,0
985,0.052734,0.004395,1.032715,40.162,0.1756,0.9313,0.0000,273,-383,221,0,,,,,,,,,,,,,6,0,0
1095,0.051514,0.000732,1.025879,40.186,0.0992,1.0687,-0.0992,274,-384,222,0,,,,,,,,,,,,,6,0,0
1194,0.053467,0.000977,1.026367,40.195,0.1832,1.0229,-0.0458,274,-382,220,0,,,,,,,,,,,,,6,0,0
1295,0.052979,-0.001953,1.025146,40.198,0.2443,0.9924,-0.0534,274,-383,222,0,,,,,,,,,,,,,6,0,0
1405,0.051270,0.001953,1.020508,40.177,0.1145,0.8550,0.0076,273,-382,221,0,,,,,,,,,,,,,6,0,0
1515,0.052490,-0.000732,1.025391,40.171,0.2595,0.8931,0.0534,274,-384,221,0,,,,,,,,,,,,,6,0,0
1616,0.050537,-0.000977,1.022461,40.183,0.1908,0.9771,-0.1298,274,-383,221,0,,,,,,,,,,,,,9,0,0
1727,0.049316,-0.002197,1.025635,40.192,0.2290,0.8931,0.0076,274,-383,222,0,,,,,,,,,,,,,12,0,0
1834,0.054932,0.000977,1.024170,40.180,0.0534,0.8855,-0.1298,274,-383,222,0,,,,,,,,,,,,,12,0,0
1934,0.050293,-0.000732,1.024658,40.171,0.2366,0.8626,-0.0687,274,-382,221,0,,,,,,,,,,,,,12,0,0
2033,0.050781,-0.002197,1.021729,40.154,0.1298,1.1069,-0.0458,273,-383,221,0,,,,,,,,,,,,,12,0,0
2138,0.054688,0.000732,1.022461,40.159,0.2672,0.9618,0.0153,274,-383,221,0,,,,,,,,,,,,,12,0,0
2316,0.055664,0.001953,1.023926,40.192,0.1832,1.1221,-0.0763,274,-384,221,0,,,,,,,,,,,,,12,0,0
2416,0.047119,0.001221,1.026123,40.165,0.1603,0.9618,-0.0687,273,-383,221,0,,,,,,,,,,,,,12,0,0
2515,0.050049,-0.002197,1.024414,40.180,0.2061,1.0534,-0.0305,272,-383,221,0,,,,,,,,,,,,,12,0,0
2616,0.052002,0.001221,1.021729,40.174,0.1527,1.0153,-0.0687,273,-383,221,0,,,,,,,,,,,,,15,0,0
2725,0.049316,-0.001709,1.023438,40.165,0.2672,1.2824,-0.0229,273,-382,222,0,,,,,,,,,,,,,18,0,0
2833,0.052979,0.000977,1.023682,40.180,0.2290,1.1145,0.0229,273,-384,221,0,,,,,,,,,,,,,18,0,0
2932,0.050537,0.000488,1.023438,40.174,0.1985,0.9618,-0.0534,273,-383,221,0,,,,,,,,,,,,,18,0,0
3036,0.054199,-0.002686,1.020020,40.159,0.0916,1.0992,-0.0305,273,-384,221,0,,,,,,,,,,,,,18,0,0
3146,0.066406,-0.004883,1.061523,40.156,-1.2672,-3.4809,-0.9924,274,-383,221,0,,,,,,,,,,,,,18,0,0
3256,0.051514,-0.007813,1.028809,40.174,0.1527,1.0916,-0.0687,274,-382,221,0,,,,,,,,,,,,,18,0,0
3358,0.047607,-0.004150,1.028076,40.171,0.1374,1.2214,-0.0382,275,-382,219,0,,,,,,,,,,,,,18,0,0
3466,0.051025,-0.005859,1.027344,40.156,0.2214,0.8092,-0.0305,274,-382,221,0,,,,,,,,,,,,,18,0,0
3576,0.051758,-0.006104,1.019043,40.156,0.3359,1.0916,-0.0305,275,-382,221,0,,,,,,,,,,,,,18,0,0
3678,0.047852,-0.000488,1.019287,40.165,0.3969,1.4962,0.0534,274,-382,220,0,,,,,,,,,,,,,21,0,0
3786,0.050293,-0.003174,1.020508,40.204,0.2824,1.2137,0.0763,274,-382,221,0,,,,,,,,,,,,,24,0,0
3894,0.050049,0.000977,1.025879,40.162,0.2061,1.1450,-0.0229,275,-381,220,0,,,,,,,,,,,,,24,0,0
3996,0.048584,-0.000244,1.020020,40.204,0.4962,1.2519,0.0305,274,-383,219,0,,,,,,,,,,,,,24,0,0
4144,0.053711,-0.003418,1.020996,40.177,0.1756,0.9924,-0.0153,273,-383,221,0,,,,,,,,,,,,,24,0,0
4243,0.049316,-0.002441,1.026367,40.177,0.0458,1.0229,0.0153,274,-384,220,0,,,,,,,,,,,,,24,0,0
4348,0.052002,-0.005371,1.027344,40.154,0.1069,0.8626,-0.0382,274,-383,220,0,,,,,,,,,,,,,24,0,0
4487,0.051270,-0.002441,1.024414,40.165,0.2214,0.9008,-0.0916,274,-382,220,0,,,,,,,,,,,,,24,0,0
4597,0.052002,-0.008057,1.023193,40.174,0.2519,0.9160,0.0687,275,-383,219,0,,,,,,,,,,,,,25,0,0
4701,0.053467,-0.001221,1.024170,40.192,0.1679,0.9542,-0.0840,275,-384,220,0,,,,,,,,,,,,,28,0,0
4811,0.051514,-0.007324,1.031250,40.159,0.0611,0.9160,0.0000,275,-382,220,0,,,,,,,,,,,,,30,0,0
4917,0.049561,-0.006104,1.021729,40.168,0.2901,1.2366,0.0687,274,-381,220,0,,,,,,,,,,,,,30,0,0
5026,0.048096,-0.006104,1.031006,40.168,0.0382,0.8015,-0.0916,275,-382,220,0,,,,,,,,,,,,,30,0,0
5129,0.053467,-0.006104,1.032471,40.174,0.1298,0.9466,-0.0076,274,-383,220,0,,,,,,,,,,,,,30,0,0
5236,0.050049,-0.003906,1.012939,40.183,0.3664,1.4733,-0.0382,274,-383,220,0,,,,,,,,,,,,,30,0,0
5346,0.053711,-0.007813,1.024170,40.151,0.4351,0.9618,0.0382,275,-384,219,0,,,,,,,,,,,,,30,0,0
5456,0.052246,-0.006836,1.019287,40.171,0.1832,1.2290,0.1221,274,-384,221,0,,,,,,,,,,,,,30,0,0
5556,0.048096,-0.004883,1.020752,40.142,0.0153,0.8550,-0.0458,275,-384,218,0,,,,,,,,,,,,,30,0,0
5659,0.051025,-0.011719,1.018066,40.154,0.2672,1.2443,0.0458,274,-381,220,0,,,,,,,,,,,,,33,0,0
5768,0.055176,-0.005371,1.024902,40.156,0.1069,0.9542,-0.0992,274,-383,220,0,,,,,,,,,,,,,36,0,0
5877,0.052246,-0.002441,1.031494,40.186,0.3969,1.0076,-0.0229,274,-383,220,0,,,,,,,,,,,,,36,0,0
5977,0.054443,-0.009277,1.029053,40.156,0.0992,1.0611,0.0840,275,-382,220,0,,,,,,,,,,,,,36,0,0
6086,0.052246,-0.006836,1.020752,40.171,0.5344,1.3511,0.0611,274,-385,220,0,,,,,,,,,,,,,36,0,0
6196,0.050537,-0.004150,1.017578,40.177,0.3130,1.3588,-0.0611,274,-383,219,0,,,,,,,,,,,,,36,0,0
6306,0.049561,-0.006104,1.031006,40.145,0.2366,0.9160,-0.0229,274,-383,220,0,,,,,,,,,,,,,36,0,0
6406,0.050537,-0.002930,1.023438,40.192,0.2061,1.0000,0.0687,274,-382,220,0,,,,,,,,,,,,,36,0,0
6518,0.049316,-0.007813,1.029297,40.168,0.0992,0.9237,-0.0763,275,-383,221,0,,,,,,,,,,,,,36,0,0
6675,0.056152,-0.010254,1.021729,40.171,0.0916,1.0687,0.0534,275,-383,219,0,,,,,,,,,,,,,39,0,0
6785,0.050049,-0.004883,1.023438,40.156,0.1908,1.0458,0.0763,272,-384,220,0,,,,,,,,,,,,,42,0,0
6895,0.054199,-0.005859,1.023193,40.151,0.2824,1.1603,0.1603,274,-384,221,0,,,,,,,,,,,,,42,0,0
6996,0.051270,-0.003906,1.011963,40.159,0.2901,1.5191,-0.0153,274,-384,220,0,,,,,,,,,,,,,42,0,0
7106,0.053955,-0.003906,1.030029,40.180,0.2443,1.2366,-0.1145,275,-384,220,0,,,,,,,,,,,,,42,0,0
7206,0.046875,-0.003906,1.019775,40.139,0.0916,0.8626,0.0000,274,-384,220,0,,,,,,,,,,,,,42,0,0
7316,0.050537,-0.001953,1.028076,40.156,0.0305,0.9618,-0.0687,274,-384,220,0,,,,,,,,,,,,,42,0,0
7426,0.056152,-0.004395,1.033447,40.098,0.0458,0.7863,-0.0382,275,-385,221,0,,,,,,,,,,,,,42,0,0
7536,0.061035,-0.008789,1.030518,40.145,-0.1069,0.6412,-0.0076,274,-383,221,0,,,,,,,,,,,,,42,0,0
7636,0.058594,-0.006592,1.018311,40.142,0.4809,1.3664,-0.0534,273,-382,220,0,,,,,,,,,,,,,42,0,0
7746,0.053223,-0.008057,1.027832,40.165,-0.0305,0.8473,-0.1069,275,-385,220,0,,,,,,,,,,,,,42,0,0
7848,0.049561,-0.001221,1.022705,40.168,-0.0382,0.7786,-0.0458,275,-383,220,0,,,,,,,,,,,,,45,0,0
7957,0.056396,-0.003418,1.028809,40.154,0.2137,1.1145,-0.0229,275,-383,220,0,,,,,,,,,,,,,48,0,0
8065,0.051270,-0.001465,1.042725,40.148,-0.3588,0.3664,-0.1374,275,-383,220,0,,,,,,,,,,,,,48,0,0
8165,0.051270,-0.004883,1.031006,40.121,0.0229,0.8702,-0.0153,275,-382,221,0,,,,,,,,,,,,,48,0,0
8266,0.052002,-0.009521,1.024414,40.162,0.1450,1.1298,0.0229,273,-383,220,0,,,,,,,,,,,,,48,0,0
8376,0.062012,-0.006836,1.023926,40.171,0.2290,0.8397,-0.0229,275,-384,220,0,,,,,,,,,,,,,48,0,0
8486,0.048584,-0.003418,1.027588,40.171,0.2748,0.9771,-0.0458,275,-384,220,0,,,,,,,,,,,,,48,0,0
8586,0.054199,-0.006836,1.030029,40.130,0.1450,0.9008,0.0763,275,-384,220,0,,,,,,,,,,,,,49,0,0
8696,0.051270,-0.006592,1.028564,40.148,0.1603,1.0382,0.0000,275,-383,220,0,,,,,,,,,,,,,52,0,0
8929,0.059814,-0.013428,1.020264,40.156,0.1450,1.0611,-0.0458,274,-384,221,0,,,,,,,,,,,,,54,0,0
9035,0.046631,-0.000488,1.033691,40.115,0.1679,1.0763,0.0076,274,-382,221,0,,,,,,,,,,,,,54,0,0
9135,0.052490,-0.002930,1.026367,40.104,0.1832,1.2366,-0.0611,274,-383,221,0,,,,,,,,,,,,,54,0,0
9237,0.055420,-0.006348,1.020752,40.145,0.5725,1.3664,0.0382,274,-383,220,0,,,,,,,,,,,,,54,0,0
9347,0.045898,-0.003662,1.011719,40.145,0.0611,0.9313,0.0992,274,-383,220,0,,,,,,,,,,,,,54,0,0
9457,0.052246,-0.010010,1.021729,40.127,0.0382,1.0916,-0.1069,275,-383,220,0,,,,,,,,,,,,,54,0,0
9556,0.055176,-0.004639,1.018066,40.104,0.1985,0.9924,-0.0305,274,-384,220,0,,,,,,,,,,,,,54,0,0
9659,0.053467,-0.009033,1.022217,40.124,0.2061,1.0916,-0.0305,274,-383,221,0,,,,,,,,,,,,,57,0,0
9769,0.057129,-0.008545,1.026123,40.145,0.0916,1.0840,-0.0076,274,-384,220,0,,,,,,,,,,,,,60,0,0
9878,0.055908,-0.006104,1.029053,40.145,0.2748,0.9466,0.0992,274,-382,220,0,,,,,,,,,,,,,60,0,0
9978,0.054443,-0.005127,1.035156,40.115,-0.2443,0.5496,-0.0611,274,-382,220,0,,,,,,,,,,,,,60,0,0
10087,0.053467,-0.009521,1.018066,40.142,0.2290,1.3817,-0.0840,275,-383,220,0,,,,,,,,,,,,,60,0,0
10297,0.053223,-0.011230,1.026611,40.142,-0.0763,0.9008,-0.0229,274,-383,220,0,,,,,,,,,,,,,60,0,0
10457,0.047363,-0.004883,1.033203,40.124,0.1527,0.9771,0.0305,275,-384,220,0,,,,,,,,,,,,,60,0,0
10566,0.056152,-0.009033,1.035156,40.151,-0.2290,0.6489,0.0305,275,-384,220,0,,,,,,,,,,,,,60,0,0
10672,0.051025,-0.009277,1.031494,40.156,-0.0840,0.8626,-0.0687,273,-384,219,0,,,,,,,,,,,,,63,0,0
10780,0.061279,-0.003662,1.032471,40.136,0.2595,0.8931,0.0076,275,-384,220,0,,,,,,,,,,,,,66,0,0
10888,0.053467,-0.008545,1.020020,40.133,0.0611,1.1069,-0.0763,274,-383,219,0,,,,,,,,,,,,,66,0,0
10989,0.052002,-0.003418,1.019287,40.118,0.3969,1.4656,0.0382,274,-384,220,0,,,,,,,,,,,,,66,0,0
11098,0.044922,-0.000977,1.021240,40.133,0.4275,1.0611,-0.0840,275,-383,220,0,,,,,,,,,,,,,66,0,0
11263,0.049561,-0.009033,1.015137,40.104,0.1069,0.7939,0.0534,274,-384,220,0,,,,,,,,,,,,,66,0,0
11367,0.049316,-0.009766,1.037354,40.151,-0.0382,0.8779,0.0305,275,-383,219,0,,,,,,,,,,,,,66,0,0
11477,0.050049,-0.007813,1.022217,40.101,0.4580,1.5802,0.0153,275,-384,219,0,,,,,,,,,,,,,66,0,0
11587,0.048828,-0.006348,1.026611,40.130,0.1298,1.0076,-0.0305,275,-382,220,0,,,,,,,,,,,,,67,0,0
11692,0.038330,0.005615,1.032715,40.130,0.1298,0.8397,-0.1145,274,-383,220,0,,,,,,,,,,,,,69,0,0
11799,0.050781,-0.005127,1.025635,40.154,-0.0229,0.9466,-0.0611,274,-382,221,0,,,,,,,,,,,,,72,0,0
11908,0.053223,-0.009033,1.024658,40.121,0.0000,0.8931,-0.1145,275,-383,220,0,,,,,,,,,,,,,72,0,0
12017,0.046631,-0.007324,1.033447,40.086,0.0534,0.9618,-0.0153,275,-383,220,0,,,,,,,,,,,,,72,0,0
12117,0.050049,-0.006104,1.023926,40.148,0.2977,1.2214,-0.0229,275,-384,220,0,,,,,,,,,,,,,72,0,0
12227,0.054932,-0.007324,1.034668,40.112,0.2748,0.7939,-0.1450,275,-383,220,0,,,,,,,,,,,,,72,0,0
12337,0.049561,-0.007080,1.013916,40.124,0.2137,1.3588,-0.0916,274,-385,220,0,,,,,,,,,,,,,72,0,0
12440,0.050293,-0.006348,1.023682,40.133,0.1679,1.1069,-0.0076,275,-384,220,0,,,,,,,,,,,,,72,0,0
12541,0.051025,-0.005859,1.029053,40.151,0.2061,1.0382,-0.0611,274,-384,219,0,,,,,,,,,,,,,72,0,0
12648,0.051025,-0.005371,1.020508,40.109,0.1756,0.8015,-0.0153,275,-385,219,0,,,,,,,,,,,,,75,0,0
12757,0.057861,-0.008789,1.015869,40.118,0.2748,0.8931,-0.0840,274,-384,220,0,,,,,,,,,,,,,77,0,0
12865,0.053711,-0.010010,1.027588,40.089,0.1145,0.8779,-0.0458,274,-383,220,0,,,,,,,,,,,,,78,0,0
12968,0.051270,-0.005127,1.020996,40.109,0.1756,1.0763,-0.0687,275,-384,220,0,,,,,,,,,,,,,78,0,0
13077,0.051025,-0.005371,1.023926,40.095,0.2061,0.8168,0.0153,276,-383,220,0,,,,,,,,,,,,,78,0,0
13187,0.050049,-0.008057,1.025879,40.127,0.2137,1.0534,0.0000,274,-385,219,0,,,,,,,,,,,,,78,0,0
13298,0.052002,-0.004150,1.022217,40.071,0.2061,1.0992,0.0382,274,-384,220,0,,,,,,,,,,,,,78,0,0
13489,0.052246,0.000488,1.021484,40.104,0.2214,1.0840,-0.0382,275,-384,220,0,,,,,,,,,,,,,78,0,0
13597,0.056641,-0.011719,1.020264,40.101,0.0992,1.0687,-0.0611,274,-384,220,0,,,,,,,,,,,,,78,0,0
13741,0.054199,-0.002441,1.023682,40.121,0.1374,0.8931,-0.1069,276,-384,220,0,,,,,,,,,,,,,79,0,0
13846,0.049805,-0.007568,1.015625,40.124,0.4962,1.2977,-0.1603,275,-384,220,0,,,,,,,,,,,,,81,0,0
13954,0.052490,-0.003906,1.017822,40.095,0.3053,1.2824,0.0305,275,-383,220,0,,,,,,,,,,,,,84,0,0
14061,0.056396,-0.006592,1.014160,40.106,0.2977,0.8779,0.0382,274,-384,220,0,,,,,,,,,,,,,84,0,0
14165,0.055420,-0.002686,1.029785,40.068,0.2443,0.8626,0.0153,275,-384,220,0,,,,,,,,,,,,,84,0,0
14267,0.048584,-0.007080,1.018311,40.109,0.1756,1.2519,-0.0611,275,-383,220,0,,,,,,,,,,,,,84,0,0
14377,0.070313,-0.008545,1.024658,40.115,0.2214,1.0534,0.0840,274,-383,220,0,,,,,,,,,,,,,84,0,0
14477,0.055664,-0.004395,1.032227,40.071,0.0458,0.5344,-0.0611,274,-383,221,0,,,,,,,,,,,,,84,0,0
14587,0.053955,-0.002197,1.015869,40.098,0.1756,0.9924,-0.0305,274,-383,220,0,,,,,,,,,,,,,85,0,0
14692,0.051758,-0.009766,1.022217,40.098,0.1450,1.0840,0.0000,274,-383,218,0,,,,,,,,,,,,,87,0,0
14800,0.047119,-0.002441,1.026611,40.089,0.1985,0.9084,0.0076,275,-383,219,0,,,,,,,,,,,,,90,0,0
14908,0.054443,-0.006836,1.023438,40.101,0.2290,0.9466,-0.0382,274,-384,219,0,,,,,,,,,,,,,90,0,0
15017,0.054199,-0.006592,1.024414,40.115,0.2137,1.0763,-0.0534,273,-384,219,0,,,,,,,,,,,,,90,0,0
15127,0.050781,-0.008789,1.022217,40.106,0.1603,1.0229,-0.0687,275,-384,220,0,,,,,,,,,,,,,90,0,0
15237,0.054932,-0.005615,1.021484,40.112,0.1450,1.0611,-0.0076,275,-382,220,0,,,,,,,,,,,,,90,0,0
15337,0.053223,-0.004883,1.023926,40.133,0.1374,1.0458,-0.0076,275,-382,221,0,,,,,,,,,,,,,90,0,0
15447,0.056152,-0.006592,1.021484,40.106,0.3053,1.2519,-0.0229,275,-384,220,0,,,,,,,,,,,,,90,0,0
15559,0.053711,-0.005371,1.029541,40.151,-0.0763,0.6183,-0.0687,274,-383,220,0,,,,,,,,,,,,,90,0,0
15723,0.056885,-0.006592,1.022461,40.112,0.1832,1.0534,0.0458,274,-383,220,0,,,,,,,,,,,,,94,0,0
15835,0.053223,-0.006592,1.024414,40.109,0.0992,1.1145,-0.0687,275,-384,220,0,,,,,,,,,,,,,96,0,0
15944,0.057373,-0.006592,1.024170,40.086,0.0382,0.8397,-0.0611,275,-384,220,0,,,,,,,,,,,,,96,0,0
16046,0.050781,-0.007080,1.020752,40.092,0.3206,1.5038,-0.0229,275,-382,220,0,,,,,,,,,,,,,96,0,0
16157,0.052002,-0.005615,1.030273,40.095,0.1756,0.9695,-0.0534,274,-383,220,0,,,,,,,,,,,,,96,0,0
16258,0.046387,-0.010010,1.023682,40.106,0.0153,1.0687,-0.0305,275,-384,219,0,,,,,,,,,,,,,96,0,0
16367,0.055908,-0.007568,1.028076,40.095,0.0687,0.9237,0.0840,273,-381,219,0,,,,,,,,,,,,,96,0,0
16477,0.052979,-0.005615,1.029541,40.095,0.0611,0.8321,0.0687,275,-384,220,0,,,,,,,,,,,,,96,0,0
16587,0.055664,-0.005859,1.025146,40.098,0.1298,0.9084,-0.0229,274,-383,219,0,,,,,,,,,,,,,97,0,0
16693,0.049805,-0.003906,1.026123,40.071,0.1374,0.9237,0.0534,274,-384,219,0,,,,,,,,,,,,,100,0,0
16803,0.051758,-0.002930,1.018311,40.083,0.1908,0.9924,0.0000,274,-385,219,0,,,,,,,,,,,,,102,0,0
16910,0.057373,-0.005859,1.028564,40.086,0.1145,1.0534,-0.0382,275,-384,220,0,,,,,,,,,,,,,102,0,0
17017,0.054199,-0.003418,1.023193,40.106,0.2366,1.0458,0.0458,275,-385,219,0,,,,,,,,,,,,,102,0,0
17118,0.055176,-0.004883,1.024658,40.121,0.2061,1.0382,-0.0153,275,-382,221,0,,,,,,,,,,,,,102,0,0
17227,0.056641,-0.006592,1.021484,40.080,0.0992,0.9160,-0.0763,275,-383,219,0,,,,,,,,,,,,,102,0,0
17337,0.055908,-0.002441,1.022217,40.065,0.2214,1.0687,0.0458,275,-382,219,0,,,,,,,,,,,,,102,0,0
17447,0.051270,-0.000244,1.030518,40.095,0.1679,1.2061,-0.0153,275,-384,220,0,,,,,,,,,,,,,102,0,0
17557,0.053223,-0.003418,1.018555,40.115,0.4198,1.1374,-0.0305,275,-382,219,0,,,,,,,,,,,,,102,0,0
17660,0.058594,0.000732,1.022949,40.062,0.3664,1.4427,-0.0611,274,-384,219,0,,,,,,,,,,,,,105,0,0
17774,0.054199,-0.008545,1.025635,40.095,0.4046,1.0305,-0.0229,274,-385,219,0,,,,,,,,,,,,,108,0,0
17968,0.051025,-0.008301,1.036377,40.092,-0.1069,0.8092,-0.1221,275,-384,219,0,,,,,,,,,,,,,108,0,0
18070,0.058838,-0.007080,1.030273,40.101,0.2366,1.1985,0.0458,274,-383,220,0,,,,,,,,,,,,,108,0,0
18170,0.055908,-0.008789,1.023193,40.092,0.1908,1.1374,0.0000,274,-385,219,0,,,,,,,,,,,,,108,0,0
18277,0.052979,-0.005371,1.021240,40.071,0.2977,1.1069,0.0687,275,-382,221,0,,,,,,,,,,,,,108,0,0
18425,0.053223,-0.008789,1.024902,40.101,0.2366,1.2672,-0.0076,274,-385,220,0,,,,,,,,,,,,,108,0,0
18527,0.053711,-0.007324,1.009277,40.092,0.4198,1.4809,0.0687,275,-385,218,0,,,,,,,,,,,,,108,0,0
18627,0.052734,0.000000,1.022705,40.101,0.3511,1.2366,0.0229,274,-384,219,0,,,,,,,,,,,,,110,0,0
18735,0.050781,-0.003174,1.024658,40.115,0.2290,0.9618,-0.0076,275,-384,219,0,,,,,,,,,,,,,113,0,0
18845,0.054199,-0.005371,1.020996,40.071,0.1908,0.7939,0.0382,274,-383,219,0,,,,,,,,,,,,,114,0,0
18950,0.055664,-0.007568,1.019287,40.062,0.1603,0.9771,-0.1221,275,-384,219,0,,,,,,,,,,,,,114,0,0
19057,0.053711,-0.006836,1.025635,40.077,0.2137,1.0916,-0.0305,274,-383,220,0,,,,,,,,,,,,,114,0,0
19157,0.055420,-0.009766,1.021729,40.098,0.0840,0.9160,0.0305,274,-383,220,0,,,,,,,,,,,,,114,0,0
19267,0.058594,-0.004395,1.024658,40.083,0.1298,1.0840,-0.0076,275,-385,219,0,,,,,,,,,,,,,114,0,0
19377,0.056641,-0.005127,1.025635,40.083,0.2519,1.1450,-0.0534,273,-384,219,0,,,,,,,,,,,,,114,0,0
19487,0.053955,-0.005859,1.026855,40.092,0.1374,0.8550,-0.0382,275,-385,219,0,,,,,,,,,,,,,114,0,0
19590,0.053223,-0.008301,1.022705,40.106,0.2061,1.0153,0.0153,275,-383,220,0,,,,,,,,,,,,,114,0,0
19697,0.055176,-0.006348,1.020996,40.083,0.1832,1.0840,0.0534,273,-383,219,0,,,,,,,,,,,,,115,0,0
19803,0.054688,-0.006592,1.025879,40.089,0.2366,1.0076,0.0076,274,-383,221,0,,,,,,,,,,,,,118,0,0
19913,0.053955,-0.006348,1.027100,40.112,0.2443,1.0687,-0.0687,275,-384,220,0,,,,,,,,,,,,,120,0,0
20022,0.057373,-0.005371,1.017822,40.092,0.2137,1.0076,-0.0840,275,-383,220,0,,,,,,,,,,,,,120,0,0
20180,0.056152,-0.009521,1.023682,40.059,0.0992,1.0840,-0.1221,273,-383,220,0,,,,,,,,,,,,,120,0,0
20387,0.055420,-0.004883,1.022949,40.106,0.2061,1.0305,-0.1145,274,-385,220,0,,,,,,,,,,,,,120,0,0
20552,0.052490,-0.002930,1.025391,40.089,0.2137,1.0840,-0.0153,274,-383,220,0,,,,,,,,,,,,,120,0,0
20655,0.053711,-0.005615,1.017578,40.074,0.2290,1.0305,-0.1298,274,-384,219,0,,,,,,,,,,,,,123,0,0
20765,0.054932,-0.002197,1.020264,40.101,0.0763,0.9771,-0.0611,275,-382,220,0,,,,,,,,,,,,,125,0,0
20873,0.052490,-0.006836,1.026367,40.121,-0.0534,0.6336,0.0153,274,-384,219,0,,,,,,,,,,,,,126,0,0
20977,0.058105,-0.005859,1.031250,40.077,-0.3664,0.1145,0.0992,274,-383,220,0,,,,,,,,,,,,,126,0,0
21087,0.053955,-0.009521,1.029541,40.089,0.2977,1.2824,-0.0458,275,-384,219,0,,,,,,,,,,,,,126,0,0
21197,0.055176,-0.008301,1.021240,40.089,0.2443,0.9695,-0.0229,274,-382,219,0,,,,,,,,,,,,,126,0,0
21307,0.053467,-0.005127,1.027832,40.086,0.0992,0.9237,-0.0458,274,-384,218,0,,,,,,,,,,,,,126,0,0
21410,0.057373,-0.007324,1.020020,40.071,0.1679,1.0382,-0.0611,275,-383,220,0,,,,,,,,,,,,,126,0,0
21517,0.053955,-0.003174,1.031006,40.074,0.2137,1.1069,-0.0916,274,-382,220,0,,,,,,,,,,,,,126,0,0
21627,0.060059,-0.006348,1.020752,40.104,0.1374,1.0076,-0.0840,274,-384,219,0,,,,,,,,,,,,,128,0,0
21735,0.057129,-0.005615,1.025879,40.068,0.1679,1.0687,0.0382,274,-385,219,0,,,,,,,,,,,,,130,0,0
21842,0.053223,-0.007813,1.023438,40.086,0.2137,1.0611,0.0076,273,-383,219,0,,,,,,,,,,,,,132,0,0
21949,0.054199,-0.003662,1.018066,40.077,0.1908,0.9771,0.0611,275,-385,219,0,,,,,,,,,,,,,132,0,0
22057,0.054199,-0.010498,1.024414,40.109,0.1756,0.9695,-0.0076,275,-385,220,0,,,,,,,,,,,,,132,0,0
22167,0.054688,-0.008301,1.024170,40.083,0.1298,1.1145,-0.1221,275,-384,220,0,,,,,,,,,,,,,132,0,0
22268,0.055664,-0.007568,1.021729,40.056,0.1603,0.9695,-0.0076,274,-384,219,0,,,,,,,,,,,,,132,0,0
22379,0.056641,-0.009521,1.021973,40.101,0.1450,0.9924,-0.0611,274,-386,220,0,,,,,,,,,,,,,132,0,0
22568,0.055420,-0.007080,1.025635,40.086,0.1832,1.2366,0.0382,275,-383,220,0,,,,,,,,,,,,,132,0,0
22671,0.054932,-0.004883,1.022461,40.089,0.2290,1.0534,0.0229,274,-385,219,0,,,,,,,,,,,,,135,0,0
22781,0.054199,-0.002441,1.025879,40.106,0.1298,1.0992,0.0382,274,-383,219,0,,,,,,,,,,,,,138,0,0
22891,0.053955,-0.005859,1.024902,40.092,0.2443,1.0153,0.0763,276,-385,219,0,,,,,,,,,,,,,138,0,0
22998,0.054932,-0.006836,1.021973,40.092,0.1908,1.0992,-0.0763,275,-383,220,0,,,,,,,,,,,,,138,0,0
23145,0.053711,-0.004395,1.019775,40.089,0.2366,1.0382,-0.1069,275,-384,219,0,,,,,,,,,,,,,138,0,0
23250,0.053955,-0.005615,1.022461,40.071,0.1527,0.9771,-0.0687,274,-384,220,0,,,,,,,,,,,,,138,0,0
23351,0.057617,-0.008789,1.025146,40.098,0.0534,0.9695,0.0153,274,-385,220,0,,,,,,,,,,,,,138,0,0
23458,0.055664,-0.008789,1.026123,40.065,0.2214,0.9771,0.0076,275,-385,220,0,,,,,,,,,,,,,138,0,0
